date,symbol,action,shares,price,amount_spent,balance_after
2025-12-01,AAPL,BUY,3,283.10,854.30,4145.70
2025-12-01,TSLA,BUY,2,430.14,865.28,3280.42
2025-12-02,AAPL,BUY,3,286.19,863.57,2416.85
2025-12-02,TSLA,BUY,2,429.24,863.48,1553.37
2025-12-03,AAPL,BUY,3,284.15,857.45,695.92
2025-12-03,TSLA,BUY,1,446.74,451.74,244.18
